claim_id,claim,claim_date,label,raw_label,split,source,detected_biases,bias_label,bias_confidence,bias_confidence_level,bias_is_present
2206.01072v1_9_T,"In Fe chains on Rh(111) surface, nearest neighbor isotropic exchange interactions are ferromagnetic while next nearest neighbor interactions are antiferromagnetic, with the nearest neighbor coupling between edge atoms reaching values of approximately 0.6 mRy.",2022-06-01,Supported,supported,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.5457}]",Time-saving bias,0.5457,medium,True
2206.01072v1_9_F,"In Fe chains on Rh(111) surface, both nearest neighbor and next nearest neighbor isotropic exchange interactions are ferromagnetic, with the nearest neighbor coupling between edge atoms reaching values of approximately 1.2 mRy.",2022-06-01,Refuted,refuted,test,matteroffact,,Outcome bias,0.2314,very_low,False
2212.06128v1_11_T,The carrier density in Fe₁₋ₓCuₓSe increases significantly in the high-pressure phase above 10 kbar compared to the low-pressure nematic phase.,2022-12-01,Supported,supported,test,matteroffact,"[{""bias"": ""Pro-Innovation Bias"", ""confidence"": 0.3005}]",Pro-Innovation Bias,0.3005,low,True
2212.06128v1_11_F,The carrier density in Fe₁₋ₓCuₓSe decreases significantly in the high-pressure phase above 10 kbar compared to the low-pressure nematic phase.,2022-12-01,Refuted,refuted,test,matteroffact,,Pro-Innovation Bias,0.2302,very_low,False
2206.01063v2_16_T,"The Heisenberg exchange constant in the mean-field resonating valence bond model is J = 4t²/U, where t is the hopping parameter and U is the onsite Coulomb interaction",2022-06-01,Supported,supported,test,matteroffact,,Time-saving bias,0.1567,very_low,False
2206.01063v2_16_F,"The Heisenberg exchange constant in the mean-field resonating valence bond model is J = 2t²/U, where t is the hopping parameter and U is the onsite Coulomb interaction",2022-06-01,Refuted,refuted,test,matteroffact,,Time-saving bias,0.1483,very_low,False
2202.12952v1_12_T,The striking universality of the phase diagram across different cuprate compounds suggests that superconductivity in cuprates is governed by topological constraints imposed by the 2D antiferromagnetic square lattice.,2022-02-01,Supported,supported,test,matteroffact,"[{""bias"": ""curse of knowledge"", ""confidence"": 0.5471}]",curse of knowledge,0.5471,medium,True
2202.12952v1_12_F,The variations in the phase diagrams of different cuprate compounds indicate that superconductivity in cuprates is primarily determined by material-specific factors such as the number of CuO2 layers and the nature of the charge reservoir layers.,2022-02-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""curse of knowledge"", ""confidence"": 0.4281}]",curse of knowledge,0.4281,low,True
2211.15972v1_8_T,Arsenic atoms preferentially substitute iodine at the I2 position (inside the interlayer) in bilayer CrI3,2022-11-01,Supported,supported,test,matteroffact,,curse of knowledge,0.2738,very_low,False
2211.15972v1_8_F,Arsenic atoms preferentially substitute iodine at the I1 position (at the surface) in bilayer CrI3,2022-11-01,Refuted,refuted,test,matteroffact,,curse of knowledge,0.2249,very_low,False
