claim_id,claim,label,claim_date,exclude_date,source,split,topic,claim_type,quant_or_qual,paper_id,detected_biases
2206.01072v1_9_T,"In Fe chains on Rh(111) surface, nearest neighbor isotropic exchange interactions are ferromagnetic while next nearest neighbor interactions are antiferromagnetic, with the nearest neighbor coupling between edge atoms reaching values of approximately 0.6 mRy.",Supported,2022-06-01,2022-05-01,matteroffact,train,magnetic nanoclusters; first principles calculations; spin-spiral states; Dzyaloshinsky-Moriya interaction; magnetic ground states; Fe atomic chains; topological superconductivity; theme_superconductors,code/simulation,quantitative,2206.01072v1,
2206.01072v1_9_F,"In Fe chains on Rh(111) surface, both nearest neighbor and next nearest neighbor isotropic exchange interactions are ferromagnetic, with the nearest neighbor coupling between edge atoms reaching values of approximately 1.2 mRy.",Refuted,2022-06-01,2022-05-01,matteroffact,train,magnetic nanoclusters; first principles calculations; spin-spiral states; Dzyaloshinsky-Moriya interaction; magnetic ground states; Fe atomic chains; topological superconductivity; theme_superconductors,code/simulation,quantitative,2206.01072v1,
2212.06128v1_11_T,The carrier density in Fe₁₋ₓCuₓSe increases significantly in the high-pressure phase above 10 kbar compared to the low-pressure nematic phase.,Supported,2022-12-01,2022-11-01,matteroffact,train,superconductors; theme_superconductors,experimental,quantitative,2212.06128v1,
2212.06128v1_11_F,The carrier density in Fe₁₋ₓCuₓSe decreases significantly in the high-pressure phase above 10 kbar compared to the low-pressure nematic phase.,Refuted,2022-12-01,2022-11-01,matteroffact,train,superconductors; theme_superconductors,experimental,quantitative,2212.06128v1,
2206.01063v2_16_T,"The Heisenberg exchange constant in the mean-field resonating valence bond model is J = 4t²/U, where t is the hopping parameter and U is the onsite Coulomb interaction",Supported,2022-06-01,2022-05-01,matteroffact,train,superconductors; high-temperature superconductors; resonating valence bond model; cuprates; spin-charge separation; non-Fermi liquid metals; theme_superconductors,theoretical,quantitative,2206.01063v2,
2206.01063v2_16_F,"The Heisenberg exchange constant in the mean-field resonating valence bond model is J = 2t²/U, where t is the hopping parameter and U is the onsite Coulomb interaction",Refuted,2022-06-01,2022-05-01,matteroffact,train,superconductors; high-temperature superconductors; resonating valence bond model; cuprates; spin-charge separation; non-Fermi liquid metals; theme_superconductors,theoretical,quantitative,2206.01063v2,
2202.12952v1_12_T,The striking universality of the phase diagram across different cuprate compounds suggests that superconductivity in cuprates is governed by topological constraints imposed by the 2D antiferromagnetic square lattice.,Supported,2022-02-01,2022-01-01,matteroffact,train,superconductors; cuprate superconductors; high-temperature superconductors; pairons; pseudogap phase; theme_superconductors,integrative,qualitative,2202.12952v1,
2202.12952v1_12_F,The variations in the phase diagrams of different cuprate compounds indicate that superconductivity in cuprates is primarily determined by material-specific factors such as the number of CuO2 layers and the nature of the charge reservoir layers.,Refuted,2022-02-01,2022-01-01,matteroffact,train,superconductors; cuprate superconductors; high-temperature superconductors; pairons; pseudogap phase; theme_superconductors,integrative,qualitative,2202.12952v1,
2211.15972v1_8_T,Arsenic atoms preferentially substitute iodine at the I2 position (inside the interlayer) in bilayer CrI3,Supported,2022-11-01,2022-10-01,matteroffact,train,Thin-film semi-conductors; two-dimensional magnetic semiconductors; CrI3 thin films; interlayer ferromagnetism; spin-polarized states; theme_semi-conductors,code/simulation,qualitative,2211.15972v1,
2211.15972v1_8_F,Arsenic atoms preferentially substitute iodine at the I1 position (at the surface) in bilayer CrI3,Refuted,2022-11-01,2022-10-01,matteroffact,train,Thin-film semi-conductors; two-dimensional magnetic semiconductors; CrI3 thin films; interlayer ferromagnetism; spin-polarized states; theme_semi-conductors,code/simulation,qualitative,2211.15972v1,
2208.04658v1_15_T,"Crystallization of strontium hexaferrite from as-grown films requires annealing at 850°C in air for three hours, which transforms the nanocrystalline maghemite and amorphous strontium oxide into well-crystallized SrFe₁₂O₁₉.",Supported,2022-08-01,2022-07-01,matteroffact,train,thin-film semi-conductors; magnetic thin films; strontium hexaferrite; M-type ferrites; magnetic materials; RF magnetron sputtering; annealing effects on thin films; maghemite nanoparticles; theme_semi-conductors,experimental,quantitative,2208.04658v1,
2208.04658v1_15_F,"Crystallization of strontium hexaferrite from as-grown films requires annealing at 600°C in vacuum for one hour, which is sufficient to transform the amorphous precursors into well-crystallized SrFe₁₂O₁₉.",Refuted,2022-08-01,2022-07-01,matteroffact,train,thin-film semi-conductors; magnetic thin films; strontium hexaferrite; M-type ferrites; magnetic materials; RF magnetron sputtering; annealing effects on thin films; maghemite nanoparticles; theme_semi-conductors,experimental,quantitative,2208.04658v1,
2203.14301v1_6_T,The hexagonal warping term in spin-orbit coupling is essential for opening a gap at the band crossing point and enabling both quantized and half-quantized anomalous Hall effect in systems with in-plane magnetic fields,Supported,2022-03-01,2022-02-01,matteroffact,train,Thin-film semi-conductors; semi-conductors; quantized anomalous Hall effect; 2D electron gas with spin-orbit coupling; topological insulator thin films; Berry curvature; Zeeman effect induced anomalous Hall effect; theme_semi-conductors,theoretical,qualitative,2203.14301v1,
2203.14301v1_6_F,"The hexagonal warping term in spin-orbit coupling is irrelevant for the anomalous Hall effect in systems with in-plane magnetic fields, as the Zeeman coupling alone is sufficient to open a gap",Refuted,2022-03-01,2022-02-01,matteroffact,train,Thin-film semi-conductors; semi-conductors; quantized anomalous Hall effect; 2D electron gas with spin-orbit coupling; topological insulator thin films; Berry curvature; Zeeman effect induced anomalous Hall effect; theme_semi-conductors,theoretical,qualitative,2203.14301v1,
